chembl_id,canonical_smiles,pIC50
CHEMBL68409,COC(=O)c1ccc(/C=C/c2ccc([N+](=O)[O-])o2)o1,3.899629455
CHEMBL307533,NC(=O)Cc1c(N)ncn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,3.254144805
CHEMBL69467,CCC(=O)n1nc2c(c1C(C)(C)C)C(=O)c1ccccc1-2,3.249491605
CHEMBL7572,CC(=O)Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1,4
CHEMBL7432,CN(C)CC(=O)Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1,4
CHEMBL7600,COCC(=O)Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1,4
CHEMBL60254,O=C(N[C@@H]1CNCCC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,7.37675071
CHEMBL2435840,CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)CN)C(=O)O,6.468521083
CHEMBL3093257,COc1ccc2nc(-c3cc(-c4cnn(C5CCNCC5)c4)cnc3N)oc2c1-c1ccc2cn[nH]c2c1,5.038104526
CHEMBL2079349,Cc1c(O)ccc2nc(-c3cc(-c4cnn(C5CCNCC5)c4)cnc3N)oc12,4.886056648
CHEMBL2079395,Cc1cc2nc(-c3cc(-c4cnn(C5CCNCC5)c4)cnc3N)oc2cc1O,5.669586227